"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"S100A4",0.599482481835111,10.2168681992911,5.65786384290363,8.35820260468489e-08,6.80407966924235e-06,7.65999772471583
"MGP",0.516789208902973,10.5414005316333,5.65079767794969,8.64262183330668e-08,6.98310944695607e-06,7.62815026977182
"GLI3",0.483470353183339,7.67212435665208,5.63911981389375,9.13355630233489e-08,7.32511215447258e-06,7.57557164270554
"PCOLCE",0.695330207475669,9.62838105737312,5.62996784336677,9.53727770053191e-08,7.59265482821022e-06,7.53441271066545
"TMEM132A",0.629877205603983,5.34011492454602,5.6020678743538,1.08787955726051e-07,8.56340928765085e-06,7.40919511322942
"PAPSS2",0.626166784243974,7.90210125725408,5.60136547308955,1.09148469723452e-07,8.56340928765085e-06,7.40604766792961
"BMP7",0.48112832375322,5.7685756996453,5.59319367522864,1.13429562682267e-07,8.83526528892739e-06,7.36944809921113
"NPY5R",-0.436983246556134,5.58496041225592,-5.59075381294469,1.14739307905088e-07,8.8406134301621e-06,7.35852699053232
"COL1A1",1.03923431789985,9.79828642993265,5.59002889934086,1.15131291553787e-07,8.8406134301621e-06,7.35528276575336
"TARS",0.420736115593716,6.47709147234905,5.57466181783738,1.23755736849555e-07,9.42049445071552e-06,7.28657194404205
"PLOD3",0.335800385322332,8.87528217533794,5.57218529893344,1.25203501279684e-07,9.42049445071552e-06,7.27550976114276
"WNT1",0.719467312831036,4.9413128938873,5.57203251380694,1.25293359278012e-07,9.42049445071552e-06,7.27482739715065
"SNCG",-0.6007741395832,5.78895221563715,-5.5667349244137,1.28448347179215e-07,9.59110520627149e-06,7.25117472601338
"COL11A1",1.28224689665249,6.5145369928858,5.55864941955698,1.33413977789541e-07,9.8936516268997e-06,7.21510177832143
"SCARA3",0.571599755285403,8.64206731814147,5.55545693766868,1.35425866396428e-07,9.9745296290757e-06,7.20086779476822
"RDH11",0.373914465099081,7.42758723956053,5.54378748785291,1.43035405783581e-07,1.04056062034108e-05,7.14888218743586
"CALU",0.446634076726566,8.52892957320402,5.54354061111685,1.43200824264174e-07,1.04056062034108e-05,7.14778313237778
"CRTAC1",0.707762341621241,10.5639494903082,5.53892561891766,1.4632772148445e-07,1.05619349367476e-05,7.12724361165774
"CAB39L",-0.746327353279944,6.36512604691077,-5.53103923400175,1.51826310723038e-07,1.08862481205187e-05,7.09216936025897
"DIO2",0.724628528150995,7.54842245675612,5.52641404001172,1.55144529064898e-07,1.10509856328003e-05,7.0716137393251
"ACSL5",-0.329508483603487,6.08400660364952,-5.52096475476429,1.59144982088696e-07,1.12618478501589e-05,7.04740956795306
"PDE2A",-0.374888906097881,6.52047079663507,-5.51882596027575,1.60742520235102e-07,1.13010341986068e-05,7.03791377632042
"WISP1",0.535896468776415,6.45075773046145,5.50895106166058,1.68323945508088e-07,1.17576990839746e-05,6.99410151704115
"KCNK2",0.954242759710731,5.86030849717594,5.49620847092636,1.78625056720298e-07,1.23972659558376e-05,6.93763955966196
"ACSM5",-0.567192311213798,6.70768868007552,-5.49088412657397,1.83109442876576e-07,1.26275537453802e-05,6.91407216251496
"TRAFD1",0.270022925720138,7.05099155478472,5.47899975508475,1.9351937213454e-07,1.3260976215827e-05,6.86152018963319
"NMT2",-0.422551156842913,6.22509496245182,-5.47474417287134,1.97385785318566e-07,1.34408547021643e-05,6.84271988457043
"ALDH1L1",-0.447195790206578,5.92073371148191,-5.44161419673176,2.30179041629636e-07,1.55759280232754e-05,6.69667735254019
"TREM1",0.820936943160373,7.51881166338198,5.43905593613063,2.32921811200526e-07,1.56636301234043e-05,6.68542369883996
"MAGED1",0.486885981839093,8.66485791670328,5.42998458100859,2.42907035713452e-07,1.62224773801143e-05,6.64554664137096
"ANXA3",-0.631548528965214,5.12537275092289,-5.42881128718469,2.44228670264951e-07,1.62224773801143e-05,6.64039204190338
"DMBT1",0.463404939014031,6.80065768264771,5.42240490631529,2.51569781679605e-07,1.66082074771041e-05,6.61225968599669
"WNT16",0.788766970140704,4.36605012010346,5.41976447153074,2.54657774594075e-07,1.66678277287531e-05,6.60067095194472
"ATP1B3",0.436419684164299,8.30127586830275,5.41900585017725,2.555518059456e-07,1.66678277287531e-05,6.59734207265075
"SLC39A14",0.690341547777256,8.33325246426128,5.40769276957463,2.69253428069067e-07,1.74563285371485e-05,6.54773514009826
"SERPINH1",0.752548992546746,8.47619522347771,5.40445871941405,2.73300357218382e-07,1.76132319500203e-05,6.53356637088376
"PDIA3",0.357593393233003,7.99421952774524,5.40169132620667,2.76810425751984e-07,1.77338844947735e-05,6.52144642246073
"NPTN",0.388469375498857,9.07281961128566,5.392156865091,2.89243825024712e-07,1.84214287855445e-05,6.47972041824403
"MYL5",-0.418033987855208,5.96541950946079,-5.39026343525751,2.91777023786107e-07,1.84740926112993e-05,6.47143980031796
"ARMC9",0.40767348825217,5.54290065461255,5.38786847512951,2.95012245138576e-07,1.85703347564847e-05,6.46096851120195
"MARK2",0.581519951925913,5.10673980605611,5.357232574933,3.39615193982928e-07,2.12544144812321e-05,6.32728769617253
"ISOC2",0.40868780807437,6.40986968191855,5.35512802771015,3.42909855902872e-07,2.13372701716115e-05,6.31812259570111
"PRKAR2B",-0.728697588878982,6.50450844547094,-5.35253382474384,3.47014000221132e-07,2.14692604593954e-05,6.30682831386756
"DOCK10",0.556253047416638,5.94291737474738,5.34662131166684,3.56547737084258e-07,2.19337633489276e-05,6.28110053922804
"VCAN",0.53077842961451,8.38433420312579,5.34424950799963,3.60443582584336e-07,2.20481506702859e-05,6.27078504931319
"RAB23",0.466371392831298,7.12547098772856,5.34279430128216,3.62854377409244e-07,2.2070923282078e-05,6.26445751458777
"SLC7A10",-0.734808980639817,4.4696755246831,-5.33695340795637,3.72690046406403e-07,2.25425426393415e-05,6.23907142371259
"EDIL3",0.727402678986899,5.52017126888614,5.32416376932889,3.95143694159661e-07,2.36498765224958e-05,6.18354750575564
"IGFBP5",0.586393001507586,9.32436323850896,5.32404072269843,3.95365997097233e-07,2.36498765224958e-05,6.1830137435293
"CHST3",0.556666579159726,7.50117266016089,5.32218494580487,3.98733575851764e-07,2.37202660755332e-05,6.17496457323539
"CKAP4",0.493856235820963,8.4347413747272,5.31902715648539,4.04528250465944e-07,2.39334828841244e-05,6.16127232530383
"FGF13",-0.526218008103236,6.04019989175775,-5.31265578091572,4.16471072921758e-07,2.44702030566101e-05,6.13366208051704
"ARMCX2",0.432539009763843,7.09736422860407,5.31179001278365,4.18120214784601e-07,2.44702030566101e-05,6.12991196136307
"FAM114A1",0.371514512255649,7.61302555197025,5.29842379713199,4.44403301797757e-07,2.58685728417436e-05,6.07206635213746
"TUBB3",0.742331162841922,7.24930923103984,5.28992222686845,4.61951507816042e-07,2.67462512038732e-05,6.03532347463259
"TNFRSF11B",0.724586105820766,7.35087700887276,5.28508444646059,4.72236908159566e-07,2.71963244927852e-05,6.0144324178614
"SEC24D",0.440863165205616,6.25641157163559,5.27338186223913,4.98049110650025e-07,2.85310990529514e-05,5.9639490090207
"CHSY1",0.477258065045751,8.02237681628938,5.26611209037463,5.14771010691006e-07,2.92879620692978e-05,5.9326253103813
"LDHA",0.459499927205862,10.0889423270238,5.26451440240489,5.18518687186637e-07,2.92879620692978e-05,5.92574507820185
"PAK7",-0.55526688690629,4.66074613818795,-5.26398459508497,5.19767310240892e-07,2.92879620692978e-05,5.92346383718979
"ATP6AP2",0.378248739833522,8.06971991736403,5.26300591439144,5.22081525757318e-07,2.92879620692978e-05,5.91925023859579
"SNX7",0.39510946264173,7.30882334771608,5.2496073144974,5.54792108137641e-07,3.09625471897229e-05,5.86161615189889
"FN1",0.563045027892805,10.6070916541488,5.23918459435941,5.81610356696029e-07,3.22927965740919e-05,5.81685004434618
"EML1",0.411336995878193,7.93048556757566,5.23200762180537,6.00807075682752e-07,3.31058720825761e-05,5.78605886965808
"CLCN5",-0.281452490143379,5.5735808533932,-5.23143328044157,6.02369705390921e-07,3.31058720825761e-05,5.78359599815969
"PHTF1",0.300417671641914,5.88758159547717,5.22537789322413,6.19087607024801e-07,3.38528359659471e-05,5.75764041118298
"PIGT",0.295794891925749,8.14054130359638,5.22072486004999,6.32240097594119e-07,3.43983092294047e-05,5.73770939081268
"CPE",0.696202939825346,7.06537536909013,5.20691361235034,6.72902888770107e-07,3.63324480979667e-05,5.67861921701108
"SPARC",0.520535782453663,9.69469117719286,5.20638756848272,6.74500976049812e-07,3.63324480979667e-05,5.67637064644811
"IL12RB2",-0.614286628670679,5.42086078792376,-5.18482000884771,7.43301326644273e-07,3.97350394544693e-05,5.58431081146103
"CTSA",0.359067821880012,8.32184017101422,5.18430976643434,7.45009052300477e-07,3.97350394544693e-05,5.58213596357679
"RARRES2",-0.74422148880779,6.39932585036181,-5.18310632992194,7.49051966963852e-07,3.97548315995962e-05,5.57700702481672
"ANTXR1",0.590364414135455,6.79332612025137,5.16957426060294,7.96008959859215e-07,4.20409219921742e-05,5.51938943255815
"SLC22A17",0.403433019771773,7.16173835999478,5.16311449690452,8.19423330499626e-07,4.29428384762614e-05,5.49192029110734
"CLIC4",0.393448256515268,8.25750408110443,5.16268096222212,8.21018524483802e-07,4.29428384762614e-05,5.49007757724435
"TIMP4",-0.870224284142724,6.53073676999369,-5.15749259083855,8.40345298132414e-07,4.37423968407675e-05,5.46803276717643
"NPTX2",0.603484494593541,6.66020712293257,5.1446012767823,8.90302549768962e-07,4.61210799346821e-05,5.41332350435836
"FOSL1",0.578760090956411,4.84049933802532,5.13553256433359,9.27165814984408e-07,4.78020203754104e-05,5.37489214086535
"PGK1",0.372457296379954,9.19297646187218,5.12637804407354,9.65882754936125e-07,4.95042699851673e-05,5.33614350149584
"C6",-0.646488796348512,6.49587159138666,-5.12558099679737,9.69327166976583e-07,4.95042699851673e-05,5.33277202060165
"OLFM1",-0.348797019510166,8.13927685567041,-5.11499830832836,1.01620822584713e-06,5.16548660152434e-05,5.28804119951618
"C1QTNF1",0.486796847274013,7.30012489404657,5.10614159122385,1.0571323809151e-06,5.34839826549895e-05,5.25065375792459
"MFAP4",-0.619114130527996,7.51611619879947,-5.10206787628992,1.07648980800609e-06,5.41929831120591e-05,5.23347184630327
"PAM",0.325425315667976,9.81798250586831,5.10109639007837,1.08115677031539e-06,5.41929831120591e-05,5.22937573212886
"FZD1",0.444178697402658,6.76488522663594,5.09829696071593,1.09471539133396e-06,5.43420879530481e-05,5.2175753483779
"IBTK",0.360138822606373,6.83304986545848,5.09744585772959,1.09887026489129e-06,5.43420879530481e-05,5.21398857987083
"STX1A",0.542104982306708,6.01344353691571,5.09738073445604,1.09918881146371e-06,5.43420879530481e-05,5.21371415024363
"SMC4",0.336913495306758,6.5011036252472,5.09357196597319,1.11797622177725e-06,5.50196752417379e-05,5.19766812721881
"PAICS",0.328040938633076,6.88630743282233,5.09238823427491,1.12387853307518e-06,5.50598772742307e-05,5.19268282192696
"TRPV4",0.562106135269626,6.0406914082733,5.08830560865044,1.14446869602944e-06,5.58160476212197e-05,5.17549481137653
"LRP4",0.490283701341966,5.36734048738491,5.08002917828272,1.18734146120149e-06,5.76472914817424e-05,5.14067945554611
"ATP1B1",0.503782627403545,8.08537170519405,5.07459363683102,1.21634348737836e-06,5.87917452582389e-05,5.11783545216205
"KL",-0.518113222220889,4.93537180445232,-5.07067596715965,1.23767265059663e-06,5.94081485586889e-05,5.10138094341094
"FXYD6",0.412398893079406,8.07206796403801,5.07023967880988,1.24007034028482e-06,5.94081485586889e-05,5.09954903474217
"SERPINE1",0.661493296149881,6.64249379432935,5.06910573046871,1.24632326950164e-06,5.94446785854371e-05,5.09478825952541
