"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ATN1",-0.404279084919374,6.47406605106345,-5.85636679872037,1.75920296079452e-08,1.51165797273986e-06,9.10672258163908
"ZKSCAN4",0.413269996916739,6.24258936548024,5.84799021751973,1.83729715466968e-08,1.5558398488731e-06,9.06539107283658
"LRRFIP1",-0.460740095706491,8.74635624973788,-5.84628853680717,1.85357106203412e-08,1.5558398488731e-06,9.05699987193418
"MGAT4C",0.605773783902136,5.46897401911282,5.84627199593915,1.85372993908405e-08,1.5558398488731e-06,9.05691831544246
"GPRC5C",0.435701131967206,7.32026480961627,5.8304361951989,2.01210537727554e-08,1.67504863899342e-06,8.97891428374835
"CLK1",-0.449092859603115,8.00538408518988,-5.82900089431062,2.02709706019053e-08,1.67504863899342e-06,8.97185179169326
"MAFG",-0.290450025204477,6.62171059397426,-5.82756764780453,2.04217622930757e-08,1.67504863899342e-06,8.96480065635981
"CD2",0.462672180210014,6.29645408924894,5.81275800340376,2.20455144317462e-08,1.78529861405607e-06,8.89201481659424
"VPS4A",-0.279346332251614,7.2800932066779,-5.81203372445745,2.21280818214275e-08,1.78529861405607e-06,8.88845858149481
"NOL12",-0.436149665795862,5.64121499463116,-5.81087694588717,2.22605812226443e-08,1.78529861405607e-06,8.88277942040354
"INHBB",-0.584441847395283,5.72857183560821,-5.79210914464144,2.45218171273377e-08,1.94370364972113e-06,8.79075355996296
"PTBP2",-0.370577726542075,6.14480568920025,-5.79153235060409,2.45947538571899e-08,1.94370364972113e-06,8.78792871761634
"ST6GALNAC4",-0.332043761951554,6.64055898212494,-5.78462439739421,2.54849233156159e-08,1.99072308206591e-06,8.75411289092151
"WDR55",-0.234116721926153,7.05863865688999,-5.78407200456422,2.55574497466668e-08,1.99072308206591e-06,8.75141007603558
"ARID5A",-0.450324778146984,6.54373515874551,-5.77847722761496,2.6303476190065e-08,2.03419811935595e-06,8.72404578991548
"APEX1",-0.261733217548994,7.76274208435304,-5.77316533315623,2.70314524618097e-08,2.07567046669513e-06,8.69808282565946
"UBE2O",-0.561997750923375,5.33449825060866,-5.764642423713,2.82408121637725e-08,2.1532624880082e-06,8.65646149971431
"HIBCH",0.314719351569435,7.42805099087049,5.75093103939231,3.02981607858203e-08,2.29389528922778e-06,8.58959598627788
"TMCO3",0.431113697099809,7.53574027775283,5.7495776568707,3.05089980279671e-08,2.29389528922778e-06,8.58300228820578
"NCL",-0.334770954492808,8.28383179340334,-5.73944215200389,3.21341725600886e-08,2.38754915944033e-06,8.53365779553799
"VPS37B",-0.359546570360911,6.33326461774092,-5.73906871778788,3.21956384296931e-08,2.38754915944033e-06,8.53184094702842
"SDC4",-0.439441804216201,8.12872182494549,-5.73071856300676,3.36004280324099e-08,2.47477438304015e-06,8.49123785585535
"FRMD4B",0.342855576334733,6.34604171053725,5.72341729244898,3.48776856068294e-08,2.55149123016988e-06,8.45577026842843
"PIGA",-0.449214206748224,6.00657641237527,-5.72034388764542,3.5429407518736e-08,2.57445768594198e-06,8.44085034782894
"B3GNTL1",-0.344761723993849,5.69189237993615,-5.71427653883875,3.65437228136195e-08,2.63772591268705e-06,8.41141338903968
"PPFIBP2",0.532356939693183,5.86991924765926,5.70970782974551,3.74053193831337e-08,2.68203571497476e-06,8.38926240817739
"CHD7",-0.303669735193386,6.11142018776489,-5.70505329270831,3.83034935151181e-08,2.72836792294858e-06,8.3667085847524
"MKNK2",-0.461374408039513,8.05252150821229,-5.70128556982508,3.9045934085516e-08,2.76307404146328e-06,8.34846169762083
"ERICH1",-0.335161035985986,4.78570146012662,-5.68213382737227,4.3042513376171e-08,3.0261122878169e-06,8.25584694665582
"SRRM2",-0.456196163765086,8.60675265086175,-5.67656051191607,4.42787451837519e-08,3.09294176841601e-06,8.22893809457144
"GTPBP4",-0.333276030866479,6.82024616982579,-5.67426129571018,4.47987795976586e-08,3.10920760707596e-06,8.21784274451616
"THY1",0.859245273227039,7.87375283690704,5.67025195710662,4.5719906797663e-08,3.15292631145412e-06,8.19850271353081
"EXOSC8",-0.292957242071951,6.72982154906745,-5.65976039296572,4.82186665928294e-08,3.30419938734534e-06,8.14794147365358
"RSRC2",-0.227136238562906,7.34293926267992,-5.64384781848428,5.22648714620508e-08,3.55894190767059e-06,8.07138626684206
"SMAD6",0.420836393044938,6.59545256290326,5.64237387915347,5.26560074598979e-08,3.56316620480197e-06,8.06430317134344
"INPP5A",-0.285829211759175,6.98205220295582,-5.63771469634419,5.39112845937434e-08,3.62545017575441e-06,8.04192215643109
"CRLF1",1.12257807032997,8.0755240744272,5.6259635913222,5.72083943637508e-08,3.7913510593322e-06,7.985534529427
"TMEM14A",0.373337928362735,7.53135141430387,5.62543229091568,5.73620249281648e-08,3.7913510593322e-06,7.98298713231903
"DBP",0.575753619264054,6.00384545503321,5.62520180950632,5.74287959481371e-08,3.7913510593322e-06,7.98188211073961
"SUPT5H",-0.248275262775637,7.39446395456817,-5.61895242932468,5.92684420663631e-08,3.88908740759099e-06,7.95193274865164
"TBCB",0.319423275823216,8.10330525599456,5.61503698681673,6.04502062182024e-08,3.94273724532818e-06,7.9331809827826
"HLA-DMB",0.641017598427392,7.22014883395238,5.60999822140535,6.200488737745e-08,4.0055472744937e-06,7.9090635963707
"DUS1L",-0.253343966277651,6.92188875675291,-5.60952421649091,6.21531303329585e-08,4.0055472744937e-06,7.90679565582282
"SFPQ",-0.302445675499548,7.66341303955065,-5.60550409121246,6.34243873257266e-08,4.06328900340617e-06,7.88756650601122
"DDX21",-0.489776103075154,7.50444054691759,-5.60199522442868,6.45546779718409e-08,4.1113735200066e-06,7.87079113177175
"FCER1A",0.672967364477485,6.12397753545697,5.59528951771737,6.67696642747134e-08,4.20487142331748e-06,7.83875370715276
"SLC46A3",0.351684698256163,6.51925494487407,5.59520076449213,6.67994721354583e-08,4.20487142331748e-06,7.83832986656255
"COL14A1",0.483343472140232,7.54102390899027,5.58809372833107,6.92289885096588e-08,4.32339119064026e-06,7.80440637517271
"CDKN1A",-0.658576980393662,7.70846098244382,-5.58737069050172,6.94809335154157e-08,4.32339119064026e-06,7.8009569378527
"TMEM63A",-0.461317827678758,6.00443875280502,-5.58475692106292,7.03991924385703e-08,4.35549746589944e-06,7.7884900332979
"RIOK3",-0.2526070691652,8.09773720827735,-5.58129438140408,7.16338831781033e-08,4.40670484755298e-06,7.77198138923585
"NAP1L3",0.481651435830548,6.12208700439406,5.57998116306417,7.21076604009086e-08,4.41078892181151e-06,7.76572222758982
"LSG1",-0.277835961694606,6.71450674490557,-5.55097520539299,8.33868558152807e-08,5.03001642216572e-06,7.62775006860837
"PA2G4",-0.319986179914536,7.40756101103414,-5.55064919552726,8.35229245886083e-08,5.03001642216572e-06,7.62620237330043
"GZMA",0.464011175271442,5.39989745982826,5.5504060571819,8.36245456719155e-08,5.03001642216572e-06,7.62504814517152
"E2F3",-0.306997680159771,6.43870338563235,-5.53616519730684,8.97916339524358e-08,5.37112718675703e-06,7.55750934923061
"EML1",0.448226714484911,7.77040459811676,5.53349982100943,9.09941594368295e-08,5.41315255067337e-06,7.54488284417138
"ZNF813",0.336533600704149,5.83861624582179,5.52475970150353,9.50485765746038e-08,5.62344775176631e-06,7.50351060774985
"NPAS2",-0.471408815564576,6.02071033732754,-5.52332693879193,9.57298024840168e-08,5.63297049725244e-06,7.49673312419618
"ZNF384",-0.27070979730073,6.50977145574142,-5.52019989344812,9.72331673985549e-08,5.69050542391435e-06,7.48194561909074
"RYR2",0.460958491409308,5.45830191577197,5.51510080092035,9.97341105455455e-08,5.80549040256248e-06,7.45784586539548
"HHEX",0.33290626118411,5.60904267241182,5.51017366596301,1.02210221780009e-07,5.89729608451445e-06,7.43457459835508
"SAFB2",-0.296318241474773,6.68801398268671,-5.50979960222081,1.02400633960351e-07,5.89729608451445e-06,7.43280849750168
"FUT6",-0.291021834500474,8.18070645565588,-5.50750409143768,1.03576726499271e-07,5.93346676088679e-06,7.4219724532166
"TMEM51",0.512671827913006,6.80160520491435,5.5009416467917,1.0701204269731e-07,6.09799676991459e-06,7.39101276713502
"OMD",0.674731848423906,7.2261389949511,5.49808590862425,1.08541410005214e-07,6.15276359228511e-06,7.37754883464843
"MXD3",-0.396443981159943,5.04003438338458,-5.49341114665749,1.11091028053543e-07,6.26449250383183e-06,7.35552002721103
"PRKCDBP",0.416825900971248,8.04423366790567,5.485194069353,1.15714785457035e-07,6.49141959659752e-06,7.3168327524429
"SEH1L",-0.359378177017779,6.80782245091229,-5.47032607892563,1.24562159963679e-07,6.9517242573544e-06,7.24694203766268
"WNT5B",0.686920746652882,6.1099335436118,5.46627315552562,1.27086050121344e-07,7.03827908559103e-06,7.22791488670698
"RCC1",-0.38377133535786,5.71467544517574,-5.46575356338689,1.27413198556926e-07,7.03827908559103e-06,7.22547633528617
"TARS",-0.370664401342233,6.60947161568556,-5.46447308691565,1.28222925255069e-07,7.04705386668341e-06,7.21946754048649
"PSEN1",0.227696519896705,7.14981771887829,5.4493747033997,1.38156863517241e-07,7.55466849142004e-06,7.14869610416848
"MYC",-0.661376123994536,7.39618554204247,-5.42503889020152,1.55766544073332e-07,8.47479584262292e-06,7.03493513879029
"BAG3",-0.473226175161227,7.25294904078335,-5.4233291114996,1.57082785187881e-07,8.47957952625286e-06,7.02695694770834
"RNF19A",-0.539897095115061,6.43382517580104,-5.422892228746,1.57420844627027e-07,8.47957952625286e-06,7.02491866341766
"MLPH",0.265282315656089,6.65807386699497,5.41838899999044,1.6094698382709e-07,8.62659897968267e-06,7.00391597238498
"PDK4",-0.777481899816844,6.83994808960315,-5.41590662952442,1.629235001709e-07,8.65456012544613e-06,6.99234401622553
"CCDC86",-0.366950678838655,6.63011090417547,-5.41572710257387,1.63067356201257e-07,8.65456012544613e-06,6.99150727826096
"RBBP6",-0.345619215501797,6.25326444429794,-5.41326341906661,1.65054058976941e-07,8.7172697392358e-06,6.98002666991839
"HIST1H3G",-0.433284088227795,5.04092248284457,-5.41217094842163,1.65942545750343e-07,8.72165020795613e-06,6.97493708566309
"FZD1",0.449385219599814,6.6043905053503,5.4108138539859,1.67052733185098e-07,8.73758426181185e-06,6.96861575437075
"OGT",-0.403772790722086,7.47492393998937,-5.40811313094878,1.69283648423527e-07,8.8117022186612e-06,6.95603936996613
"TBK1",-0.268030738469166,6.68006435052865,-5.39804164745944,1.77861766741958e-07,9.21392032782385e-06,6.90918151497067
"CCNB1IP1",-0.287275878481634,7.20151282620811,-5.39281686845543,1.82477056134133e-07,9.40799565125837e-06,6.88489904988202
"PHC2",-0.315186136752409,7.24572231318199,-5.38962273968746,1.85355777773106e-07,9.51112325094511e-06,6.87006289446254
"DDX19A",-0.307017481447781,6.45956601628502,-5.38657919472591,1.88139887154566e-07,9.60844602935136e-06,6.85593235072094
"PCDHB11",0.422332460532429,5.37890466873809,5.38250061771323,1.91934699643976e-07,9.75623001429733e-06,6.83700582539822
"PELP1",-0.357087914236572,6.74803554677408,-5.379306569278,1.94958441301698e-07,9.86362170081069e-06,6.82219149657608
"AREG",-0.649293429328334,4.95578800322839,-5.37488028164202,1.99225476526011e-07,1.00326243458006e-05,6.80167290654967
"GBE1",-0.374176418610151,7.69690301143108,-5.36383002373241,2.10278722694215e-07,1.05402209750475e-05,6.75050389059563
"METAP2",-0.312439699097409,7.65657316375297,-5.36061735219178,2.13602715468767e-07,1.06376083423282e-05,6.7356423447243
"VEGFA",-0.751774829471703,7.73984608260245,-5.36005802328834,2.14186627747996e-07,1.06376083423282e-05,6.73305562606887
"ENOSF1",-0.429527797599284,6.83562319505394,-5.35822067848289,2.16115678658412e-07,1.06844038942221e-05,6.72455992875642
"RPGRIP1L",0.314736868639851,4.71984022904134,5.355320723834,2.19194823451051e-07,1.07873743341115e-05,6.71115532193325
"WIF1",1.05275856440307,5.84968841863827,5.35307848054062,2.21604838486981e-07,1.08566316122106e-05,6.70079465838799
"MXD1",-0.518080903420843,5.2791428894034,-5.3484451862112,2.26666768743317e-07,1.10545995729004e-05,6.67939616364421
"USP36",-0.337592648754028,6.17366631749224,-5.3470005049662,2.28267981035232e-07,1.10827687473922e-05,6.67272689459643
"IRX5",0.506693511722965,5.28785921502992,5.342539041694,2.3328262328197e-07,1.12268775820588e-05,6.65213949423318
"KDELR3",0.624185672386734,7.93519164708209,5.34251493500314,2.3331000793971e-07,1.12268775820588e-05,6.65202828945222
