"","B_cells_naive_CIBERSORT","B_cells_memory_CIBERSORT","Plasma_cells_CIBERSORT","T_cells_CD8_CIBERSORT","T_cells_CD4_naive_CIBERSORT","T_cells_CD4_memory_resting_CIBERSORT","T_cells_CD4_memory_activated_CIBERSORT","T_cells_follicular_helper_CIBERSORT","T_cells_regulatory_(Tregs)_CIBERSORT","T_cells_gamma_delta_CIBERSORT","NK_cells_resting_CIBERSORT","NK_cells_activated_CIBERSORT","Monocytes_CIBERSORT","Macrophages_M0_CIBERSORT","Macrophages_M1_CIBERSORT","Macrophages_M2_CIBERSORT","Dendritic_cells_resting_CIBERSORT","Dendritic_cells_activated_CIBERSORT","Mast_cells_resting_CIBERSORT","Mast_cells_activated_CIBERSORT","Eosinophils_CIBERSORT","Neutrophils_CIBERSORT"
"GSE98918_GSM2627522",0.0792686186948396,0,0.0115411732982065,0.141352172668493,0.0063580103066692,0.00373940391610266,0,0,0.130265677379414,0,0.0203175404990531,0.0520118636656995,0.27434389168502,0,0.0033325279959238,0.179982467183369,0,0,0.0907560125031164,0.00673064020409309,0,0
"GSE98918_GSM2627523",0.0484396683413572,0,0,0,0,0.0648870402241172,0,0.118862702037092,0.0151051319650096,0,0.0187449823119652,0.0322873855934778,0.124461771563804,0,0.03471846269665,0.401016372261404,0,0.0129704116276495,0.0635382192708373,0,0,0.0649678521066363
"GSE98918_GSM2627524",0.0648287577071793,0,0.0878781169636305,0,0.00470766446750985,0.121378987732917,0,0.0986451040983889,0.0299264970374845,0,0.00901048238721392,0.0162330097664724,0.0995278163202435,0.059051874664552,0.08833141749168,0.135958678417795,0.00846538705754203,0,0.13055317151,0,0.0455030343773906,0
"GSE98918_GSM2627525",0.108006608931163,0,0.0520810331364608,0.128682605983313,0,0.0976231550055273,0,0.0850539393189092,0.0544674243652872,0,0.0383829372830969,0.0306371145070176,0.254008501407881,0.0352969043472462,0.0260406169659318,0.0333069845854019,0.0333351019564373,0,0.0230770722063272,0,0,0
"GSE98918_GSM2627526",0.0464406847679178,0.0341661827603602,0,0.058246339607947,0,0.0600237150944539,0.0937339218557882,0,0.0468960389176777,0,0.00575629511273258,0,0.218034084252945,0,0.0301787807504607,0.261674028290774,0.0702473244741865,0,0.0725406669278834,0.00206193718687323,0,0
"GSE98918_GSM2627527",0.0625510661957906,0,0.0966963103750705,0,0,0.174658683072302,0,0.0533276478880693,0.0532523539890505,0,0.026913150510528,0.00486019941892676,0.0694817053051779,0,0.0625215723744298,0.279107600518749,0.0440858262920519,0,0.0303886948830509,0,0.00439344464809464,0.0377617445287085
"GSE98918_GSM2627528",0,0.0346769616545503,0.0283158196210006,0.101741909546462,0.0404388633208296,0,0,0.0114297325942554,0.126450998502174,0,0.0918724148963484,0,0.140638138240635,0.160245879374208,0.0270205605925741,0.108137475582272,0.0297409579750559,0,0.0584824329492206,0.0408078551504147,0,0
"GSE98918_GSM2627529",0.0868977048041814,0,0.0662751735827915,0.00276939467044326,0,0.0956035727613145,0,0.0420472514142879,0,0,0,0.0270376767615099,0.0358078379502807,0.0145690095680144,0.0605538762872121,0.385473854724839,0,0,0.0768657725591139,0,0,0.106098874916011
"GSE117999_GSM3316962",0,0.0776273251845139,0,0.0518551705285837,0.0441308104115925,0,0,0,0.0738199546208138,0.0154423621947672,0.0455762562632997,0,0.217975536587397,0,0.0529053566223796,0.290703206676989,0,0,0.00653981589365897,0.091353815694952,0,0.0320703893210524
"GSE117999_GSM3316963",0.0272607243442522,0,0,0.0593140341545164,0.0293920175877153,0,0,0.0707612233034179,0.13006815500401,0,0.07829853944804,0.0177056787947619,0.171265748774531,0.00455088012184821,0.0689436432327425,0.141202943464311,0.0349695219416982,0,0.0939996513651084,0.00939854949329396,0,0.0628686889697528
"GSE117999_GSM3316964",0.0633039635039898,0,0.00525520384616212,0.101930680633129,0.0213997988499113,0,0,0.0410463661573661,0.0829800878688072,0,0.0561884064320295,0,0.114964526597641,0,0.0562245577929945,0.269894067287893,0.0169419110024373,0,0.169870430027638,0,0,0
"GSE117999_GSM3316965",0.091299180577131,0,0.0625364125140277,0.130556890562955,0,0.0284635893010754,0,0.0283973855883841,0.0392106453711822,0,0.036082989056821,0.022414222739414,0.0912015663286432,0.0397331501985831,0.0333279349847623,0.218630808141516,0.0215379599340927,0,0.123784331031339,0,0,0.0328229336700728
"GSE117999_GSM3316966",0.0664302414314735,0,0,0.00410898833034794,0.012695809718218,0.0297489804532494,0,0.0214041834011591,0.0361701565964394,0,0.054462024165912,0.0035072396160789,0.0731799805425944,0,0.0593231650473033,0.451643182092916,0.0375732881500677,0,0.0698336680014953,0,0,0.0799190924527445
"GSE117999_GSM3316967",0.02149034540315,0,0.0290422257642672,0.00253045705758563,0,0.197324645952033,0,0.0526469510535129,0.0397788794131879,0,0.0656379398510894,0,0.111527919988632,0.179072438130694,0.0509076573208829,0.187074298896856,0,0,0,0.0582944174496274,0,0.00467182371848113
"GSE117999_GSM3316968",0.0366569324367475,0,0,0.00584485982139639,0,0,0,0.0529913721815667,0.0510271935872661,0,0,0.0153369358825629,0.104995402130124,0.194942384320222,0.0564218230670803,0.388033815921781,0,0,0.0937492806512525,0,0,0
"GSE117999_GSM3316969",0.0384001866946487,0,0.126928619440695,0.0305839657795295,0,0.0455406108229266,0,0,0.0371463162761231,0,0,0.0485343519766196,0.0995232214815704,0,0.0366399648943334,0.389404638791596,0.0527250340803679,0,0.0487016343611938,0.0112701472233738,0,0.0346013081770225
"GSE117999_GSM3316971",0.0053571392919875,0,0.107659925211783,0.0515147254726361,0,0.141381245436816,0.0080953657784923,0.0067149577040198,0.0644049048395902,0,0.0799193022689451,0,0.167641661695696,0,0.101858971488474,0.118050044477158,0.018235262866129,0,0.117863195164794,0,0,0.0113032983034797
"GSE117999_GSM3316973",0.000161826810792201,0.0268617250318383,0,0,0.0278283968277469,0,0,0.0617278033849337,0.059363345105596,0,2.13660558444776e-05,0.0230305403171881,0.133963225288873,0.109155685893293,0.0822561632007003,0.307446793700836,0.00985907374647131,0,0.156674989699652,0,0,0.00164906493623423
"GSE12021_GSM302859",0.124657562477112,0,0,0,0.189401513669504,0,0.0818651766072216,0,0.0126575660886139,0.0103905492223486,0.0927454952120631,0,0.0307574102148918,0.168596792156598,0.0104608025830772,0.132492318151609,0,0.0136165776014665,0.0602458775406637,0.0632648870293418,0.00321016913985756,0.00563730230563151
"GSE12021_GSM302864",0.00288074852509566,0,0,0.118829484329691,0.0106695208468117,0,0,0.0166529284952402,0.0514746415173095,0,0.0922900136543602,0.00135457039857564,0.123980143273298,0,0.0269255695560973,0.456077704353966,0.00623854719171361,0,0.0566352484585536,0,0.026219809755076,0.00977106964421202
"GSE12021_GSM302866",0.0935440993804059,0,0.0834937785383297,0,0,0.158661020540399,0,0.0199594033641781,0.0223811094268123,0,0.121200683860295,0,0.155345748815552,0,0.0191657054398071,0.222034941680361,0,0,0.10421350895386,0,0,0
"GSE12021_GSM302870",0,0.00736527573366895,0,0,0.0494825533265558,0,0,0.00774851408635964,0,0.0563513266410908,0,0,0.153294572322315,0,0,0,0,0.0135412523518737,0,0.304594827576261,0,0.407621677961875
"GSE12021_GSM303522",0.0989066212380261,0,0.0539970738278648,0.0503868828808914,0,0.125067957384127,0,0.0503939320994507,0.0224490107423046,0,0,0.0353908549148413,0.122900994689814,0,0.117893555317007,0.110532458434461,0.0059276792490989,0,0,0.198707064460661,0.00744591476145174,0
"GSE12021_GSM303523",0,0.0214482173722736,0,0.0429319456785169,0,0.0477622352320965,0,0.0496201727375179,0.050780106670972,0,0.0055466263217061,0,0,0.390401675191216,0.0669353764666719,0.262194594325083,0,0,0.062221495128427,0,0,0.000157554875519183
"GSE12021_GSM303525",0,0.039720321368564,0,0.0701791663681808,0,0.0515001114808935,0,0.0916867888656939,0.00951735554435287,0,0.0135734184014414,0,0.0936593923736743,0,0.0684001528955502,0.313546201401381,0.0919347489132546,0,0.0930064616383374,0.0632758807486761,0,0
"GSE12021_GSM303531",0.0520237853817934,0,0,0.0731152262547284,0,0.154894297150213,0,0.0571508118853831,0.0206238346707302,0,0.0211505806312155,0.00763758384758997,0.0656373268089383,0,0.0289971291153358,0.297361912796853,0.0209700380417624,0,0,0.178251277272548,0,0.0221861961429084
"GSE12021_GSM303533",0.0365072339750463,0,0.038910741908418,0.00792193137527658,0,0.143680076080214,0,0.0288526795409551,0.012014435536187,0,0,0.0593101324108692,0.139999754631164,0.00570547991829465,0.0496349206387636,0.314910240788795,0,0,0,0.153166015616843,0,0.00938635757917413
"GSE55235_GSM1332211",0,0.035582096099129,0,0,0,0.0681082509632025,0,0.0679970476626872,0.0467803251223316,0.00258851681164211,0.0480608538378131,0,0.049083494250695,0.267725381221008,0.0343856363408354,0.30207443614989,0,0,0.0706450668337776,0.00696889470698867,0,0
"GSE55235_GSM1332212",0,0.0384589946598539,0,0.0126220572880923,0,0.00103208983998895,0.00858778294598242,0.0269680571976949,0.0205649349521409,0.0344394942362314,0.00451529379707637,0,0.0737186579345544,0.285293587980348,0.0226164789884157,0.287192884264937,0.00596473608033086,0,0.178024949834352,0,0,0
"GSE55235_GSM1332213",0,0.0263353596935204,0.0189073760663821,0.107933170476825,0.0191203650248842,0,0.0695013465988259,0.0752410831067121,0.0358332517533764,0,0.0424423661191445,0.00616801807197382,0.123394017007201,0,0.0163523833292371,0.248706082060075,0.0606519656166941,0,0.149413215075149,0,0,0
